"date"	"yy"	"mm"	"dd"	"hh"	"ws"	"wd"	"pm10"	"air_t"	"slp"
2005-05-14	2005	5	14	11.5	5.5	108.722857739696	24.4791666666667	10.375	1013.25
2005-05-15	2005	5	15	11.5	3.58333333333333	194.221381754193	15.2291666666667	10.925	1005.66666666667
2005-05-16	2005	5	16	11.5	3.75	239.688862635744	14.3541666666667	10.5833333333333	1006.58333333333
2005-05-17	2005	5	17	11.5	3.08333333333333	338.335812540094	23.75	8.30833333333333	1008
2005-05-18	2005	5	18	11.5	2.125	12.886871653793	15.6666666666667	8.76666666666667	1014.79166666667
2005-05-19	2005	5	19	11.5	2.25	323.640200816376	12.9791666666667	9.075	1022.58333333333
2005-05-20	2005	5	20	11.5	2.79166666666667	127.978520190978	19.8333333333333	11.4291666666667	1020.91666666667
2005-05-21	2005	5	21	11.5	4.16666666666667	150.668077953244	15.7708333333333	16.0541666666667	1013.125
2005-05-22	2005	5	22	11.5	2.16666666666667	149.776205345084	26.9791666666667	17.5083333333333	1009.79166666667
2005-05-23	2005	5	23	11.5	3.08333333333333	214.784231860926	30.3541666666667	17.1166666666667	1009.41666666667
2005-05-24	2005	5	24	11.5	3.5	310.018067657242	13.8333333333333	13.6875	1018.16666666667
2005-05-25	2005	5	25	11.5	2.91666666666667	199.289500651987	23.6458333333333	16.9333333333333	1021.45833333333
2005-05-26	2005	5	26	11.5	2.54166666666667	186.059270175712	19.0625	19.5541666666667	1019.41666666667
2005-05-27	2005	5	27	11.5	2	192.187211401023	24.0909090909091	21.4318181818182	1014.04545454545
2005-05-28	2005	5	28	11.5	1.91666666666667	155.468649191024	30.375	23.5041666666667	1012.79166666667
2005-05-29	2005	5	29	11.5	2.41666666666667	338.704872635348	30.4166666666667	23.4541666666667	1011.45833333333
2005-05-30	2005	5	30	11.5	4.20833333333333	15.4419531950001	20.5625	19.9541666666667	1008.75
2005-05-31	2005	5	31	11.5	6.33333333333333	280.751045647487	15.1458333333333	12.2583333333333	1014.16666666667
2005-06-01	2005	6	1	11.5	5.04166666666667	276.17155490316	10.8541666666667	8.89583333333333	1015.625
2005-06-02	2005	6	2	11.5	2.70833333333333	238.189328591851	13.9375	12.7916666666667	1014.125
2005-06-03	2005	6	3	11.5	3.16666666666667	205.192919684448	18.9791666666667	18.2833333333333	1009.75
2005-06-04	2005	6	4	11.5	3.95833333333333	215.862219152007	19.25	16.9166666666667	1004.91666666667
2005-06-05	2005	6	5	11.5	3.91666666666667	259.726696354732	11.125	13.0416666666667	1007.5
2005-06-06	2005	6	6	11.5	4.625	285.781587014791	13.3125	11.5208333333333	1010
2005-06-07	2005	6	7	11.5	4.45833333333333	280.886979326911	9.10416666666667	8.74583333333333	1015
2005-06-08	2005	6	8	11.5	5.125	351.285785904068	9.1875	10.0541666666667	1027.83333333333
2005-06-09	2005	6	9	11.5	3.41666666666667	11.3355821438826	6.375	11.1958333333333	1020.70833333333
2005-06-10	2005	6	10	11.5	3.41666666666667	309.023627492367	11.1041666666667	12	1004.20833333333
2005-06-11	2005	6	11	11.5	4.54166666666667	278.96498783579	9.39583333333333	10.8916666666667	998.875
2005-06-12	2005	6	12	11.5	2.91666666666667	255.91734710217	10.0625	11.3375	999.208333333333
2005-06-13	2005	6	13	11.5	3.33333333333333	160.385408160921	20.6041666666667	14.2041666666667	998.5
2005-06-14	2005	6	14	11.5	3.95833333333333	85.2487873588187	22.2083333333333	18.025	1003.20833333333
2005-06-15	2005	6	15	11.5	3.33333333333333	347.71973020728	19.4375	19.5583333333333	1005.66666666667
2005-06-16	2005	6	16	11.5	2.58333333333333	306.51325171327	23.5	18.5708333333333	1008.79166666667
2005-06-17	2005	6	17	11.5	3.375	286.049642403045	25.7708333333333	18.2833333333333	1009.79166666667
2005-06-18	2005	6	18	11.5	7.375	316.894007503909	10.8333333333333	14.9791666666667	1009.29166666667
2005-06-19	2005	6	19	11.5	4	316.894558453919	7.14583333333333	16.9375	1009
2005-06-20	2005	6	20	11.5	2.45833333333333	27.2752966703763	9.58333333333333	18.1708333333333	1008.625
2005-06-21	2005	6	21	11.5	2.25	150.71332723192	18.9583333333333	20.525	1007.5
2005-06-22	2005	6	22	11.5	5.04166666666667	304.118634885189	19.8958333333333	19.0125	1006.58333333333
2005-06-23	2005	6	23	11.5	3	312.729435357242	12.6458333333333	18.1791666666667	1010.20833333333
2005-06-24	2005	6	24	11.5	2.33333333333333	187.051033714661	23.7916666666667	21.0291666666667	1007.79166666667
2005-06-25	2005	6	25	11.5	3.75	246.797350022821	28.125	24.1375	1001.75
2005-06-26	2005	6	26	11.5	2.83333333333333	355.985268602556	11.875	18.2875	1009.66666666667
2005-06-27	2005	6	27	11.5	3.375	311.564632159919	17.3333333333333	18.5208333333333	1007.83333333333
2005-06-28	2005	6	28	11.5	4.41666666666667	306.809943997917	NA	NA	NA
2005-06-29	2005	6	29	11.5	3.95833333333333	330.401043344729	NA	NA	NA
2005-06-30	2005	6	30	11.5	3.16666666666667	72.1970614992432	8.75	16.1791666666667	999.541666666667
2005-07-01	2005	7	1	11.5	3.54166666666667	91.0303079891562	19.6041666666667	18.1166666666667	1000.375
2005-07-02	2005	7	2	11.5	3	339.166712688127	14.125	20.2166666666667	1006.58333333333
2005-07-03	2005	7	3	11.5	2.45833333333333	91.293614693252	16.2083333333333	20.4583333333333	1008.625
2005-07-04	2005	7	4	11.5	4	106.297476612859	18.2708333333333	21.6666666666667	1003.66666666667
2005-07-05	2005	7	5	11.5	4.29166666666667	230.722980621108	26.6666666666667	19.4916666666667	998.875
2005-07-06	2005	7	6	11.5	3.41666666666667	272.142114750939	10.1458333333333	12.8708333333333	999.75
2005-07-07	2005	7	7	11.5	2.33333333333333	136.920783342411	15.375	16.9666666666667	1000.625
2005-07-08	2005	7	8	11.5	2	45.816526211656	22.4375	19.7041666666667	1004.125
2005-07-09	2005	7	9	11.5	2.5	306.104801406801	24.2916666666667	18.4041666666667	1006.75
2005-07-10	2005	7	10	11.5	5.08333333333333	46.6628171096013	14.8958333333333	22.1458333333333	1008.5
2005-07-11	2005	7	11	11.5	4.66666666666667	63.4477715775076	16.4583333333333	22.6916666666667	1012.29166666667
2005-07-12	2005	7	12	11.5	3.33333333333333	63.1797281614082	19.5416666666667	22.7708333333333	1013.45833333333
2005-07-13	2005	7	13	11.5	2.16666666666667	336.979693908387	30.0416666666667	23.1666666666667	1008.79166666667
2005-07-14	2005	7	14	11.5	2.66666666666667	337.579998316257	15.5	22	1007.95833333333
2005-07-15	2005	7	15	11.5	3.08333333333333	197.764746378895	24.0625	24.0458333333333	1004.125
2005-07-16	2005	7	16	11.5	4.16666666666667	293.893747182947	22.5833333333333	19.2208333333333	1000.75
2005-07-17	2005	7	17	11.5	4.29166666666667	291.223744097248	10.7291666666667	16.1333333333333	1002.25
2005-07-18	2005	7	18	11.5	2.95833333333333	265.700043193315	15.375	18.2666666666667	999.75
2005-07-19	2005	7	19	11.5	2.95833333333333	273.529450717616	22.4791666666667	17.6791666666667	998.958333333333
2005-07-20	2005	7	20	11.5	4.66666666666667	247.599654545008	17.8958333333333	16.8625	1002.91666666667
2005-07-21	2005	7	21	11.5	6.125	240.041473101582	9.91666666666667	12.1791666666667	995.791666666667
2005-07-22	2005	7	22	11.5	5.45833333333333	268.491352243711	8.0625	15.0666666666667	992.5
2005-07-23	2005	7	23	11.5	4.08333333333333	250.314196762269	9.22916666666667	14.625	996.208333333333
2005-07-24	2005	7	24	11.5	3	237.965132222918	11.6458333333333	16.1875	998
2005-07-25	2005	7	25	11.5	3.125	182.099560154645	18.1666666666667	17.6416666666667	995.875
2005-07-26	2005	7	26	11.5	2.625	271.964396812602	18.1875	17.4875	997.791666666667
2005-07-27	2005	7	27	11.5	1.70833333333333	290.688929568813	20.625	19.0708333333333	1003.16666666667
2005-07-28	2005	7	28	11.5	2.20833333333333	67.4941917940107	19.8125	22.9291666666667	1002.54166666667
2005-07-29	2005	7	29	11.5	1.91666666666667	91.2338955046934	32.5416666666667	23.4541666666667	1002.66666666667
2005-07-30	2005	7	30	11.5	4.75	251.627826318862	19.8958333333333	23.0708333333333	999.75
2005-07-31	2005	7	31	11.5	2.33333333333333	206.46212298884	14.4375	19.3875	1002.20833333333
2005-08-01	2005	8	1	11.5	3.875	275.284917407405	14.5625	17.9458333333333	1004.625
2005-08-02	2005	8	2	11.5	1.95833333333333	330.316439209061	14.875	17.3041666666667	1008.41666666667
2005-08-03	2005	8	3	11.5	3.45833333333333	37.2621814734605	16.4090909090909	17.7818181818182	1005.5
2005-08-04	2005	8	4	11.5	5.20833333333333	308.561355513944	11.2291666666667	15.5208333333333	1006.04166666667
2005-08-05	2005	8	5	11.5	2.58333333333333	276.579429021354	NA	15.425	1008.08695652174
2005-08-06	2005	8	6	11.5	3.375	270.917351546123	NA	13.8458333333333	1000.16666666667
2005-08-07	2005	8	7	11.5	2.20833333333333	254.424673432397	NA	11.9375	998.958333333333
2005-08-08	2005	8	8	11.5	2.95833333333333	310.325452197779	NA	13.0791666666667	999.875
2005-08-09	2005	8	9	11.5	5.625	269.357711106775	14.0681818181818	12.5	997.416666666667
2005-08-10	2005	8	10	11.5	6.25	252.088238236944	NA	13.7791666666667	995.458333333333
2005-08-11	2005	8	11	11.5	4.75	253.101601615758	12.6666666666667	12.8458333333333	997.791666666667
2005-08-12	2005	8	12	11.5	2.91666666666667	260.661993038013	14.3541666666667	14.5791666666667	1000.79166666667
2005-08-13	2005	8	13	11.5	3.33333333333333	271.150885668967	NA	13.0416666666667	1002.83333333333
2005-08-14	2005	8	14	11.5	2.70833333333333	198.419848729342	NA	15.4833333333333	1004.08333333333
2005-08-15	2005	8	15	11.5	2.33333333333333	65.3839709250694	NA	16.1333333333333	1005.125
2005-08-16	2005	8	16	11.5	2.625	1.89059447145917	NA	17.4125	1007.70833333333
2005-08-17	2005	8	17	11.5	2.66666666666667	343.533654313462	NA	16.2041666666667	1010.54166666667
2005-08-18	2005	8	18	11.5	2.75	74.2787422704035	22.3333333333333	18.6208333333333	1009.625
2005-08-19	2005	8	19	11.5	3.83333333333333	102.297494836862	21.9166666666667	19.6791666666667	1007.45833333333
2005-08-20	2005	8	20	11.5	4.91666666666667	116.685087975133	21.6875	21.6833333333333	1006.45833333333
2005-08-21	2005	8	21	11.5	2.95833333333333	80.6004780961541	21.75	20.3083333333333	1005.625
2005-08-22	2005	8	22	11.5	4.45833333333333	83.567391035869	NA	NA	NA
2005-08-23	2005	8	23	11.5	2.41666666666667	11.8078671558758	NA	NA	NA
2005-08-24	2005	8	24	11.5	4.5	301.645553737518	NA	NA	NA
2005-08-25	2005	8	25	11.5	2.75	212.674418342753	NA	18.1166666666667	998.083333333333
2005-08-26	2005	8	26	11.5	4.5	255.452432156073	18.0714285714286	14.9333333333333	1002.75
2005-08-27	2005	8	27	11.5	1.75	232.879897523143	15.7083333333333	14.7291666666667	1008.54166666667
2005-08-28	2005	8	28	11.5	1.41666666666667	329.531465509018	18.0625	16.9666666666667	1010.375
2005-08-29	2005	8	29	11.5	1.54166666666667	207.582368178881	26.1041666666667	18.6958333333333	1013.58333333333
2005-08-30	2005	8	30	11.5	2.41666666666667	348.992371191188	23	19.6083333333333	1014.58333333333
2005-08-31	2005	8	31	11.5	2.83333333333333	76.1659926593005	11.9791666666667	17.75	1012.91666666667
2005-09-01	2005	9	1	11.5	4.875	102.583931879175	22.0833333333333	17.4375	1010.625
2005-09-02	2005	9	2	11.5	3.20833333333333	114.273657224208	22.0625	17.05	1012.95833333333
2005-09-03	2005	9	3	11.5	1.75	333.723054339133	25.5416666666667	17.3791666666667	1016.75
2005-09-04	2005	9	4	11.5	1.66666666666667	328.455715372241	19.3958333333333	18.0291666666667	1015.91666666667
2005-09-05	2005	9	5	11.5	0.708333333333333	215.603723767272	30.8695652173913	18.8391304347826	1010.82608695652
2005-09-06	2005	9	6	11.5	3.25	152.305080713224	33.4130434782609	18.9695652173913	1006.4347826087
2005-09-07	2005	9	7	11.5	3.45833333333333	177.627310269232	30	19.9541666666667	1004.20833333333
2005-09-08	2005	9	8	11.5	1.79166666666667	200.021805655031	35.7708333333333	20.2541666666667	1004.91666666667
2005-09-09	2005	9	9	11.5	2.79166666666667	141.905517062451	30.2291666666667	21.25	1002.25
2005-09-10	2005	9	10	11.5	1.70833333333333	111.018873111646	33.0833333333333	22.0125	998
2005-09-11	2005	9	11	11.5	2.91666666666667	113.525993708755	27.3125	20.35	998.208333333333
2005-09-12	2005	9	12	11.5	2.83333333333333	330.093307047902	24.375	17.775	999.791666666667
2005-09-13	2005	9	13	11.5	2.45833333333333	310.858803342522	13.9166666666667	14.3708333333333	1011.16666666667
2005-09-14	2005	9	14	11.5	4.04166666666667	248.061459154488	16.0625	15.0875	1007.5
2005-09-15	2005	9	15	11.5	4.79166666666667	275.917607612564	10.5208333333333	15.6791666666667	1001.29166666667
2005-09-16	2005	9	16	11.5	3.45833333333333	24.2594020857822	NA	10.4583333333333	992.958333333333
2005-09-17	2005	9	17	11.5	1.5	7.45821059863295	NA	9.4875	1005.66666666667
2005-09-18	2005	9	18	11.5	0.75	296.634075664998	NA	9.13333333333333	1015.79166666667
2005-09-19	2005	9	19	11.5	1.04166666666667	10.9555031599972	24.4375	10.7583333333333	1016.08333333333
2005-09-20	2005	9	20	11.5	1.875	50.4692137376294	20.875	11.8083333333333	1013.83333333333
2005-09-21	2005	9	21	11.5	2.29166666666667	69.6058345663445	NA	12.7458333333333	1014.25
2005-09-22	2005	9	22	11.5	3.58333333333333	100.690865481943	NA	13.7416666666667	1013.79166666667
2005-09-23	2005	9	23	11.5	4.125	122.659074798475	NA	14.2916666666667	1010.41666666667
